Last login: Thu Feb 20 14:08:16 on console
maclab-123:~ huber021$ ps
  PID TTY           TIME CMD
78570 ttys000    0:00.01 -bash
maclab-123:~ huber021$ ps x
  PID   TT  STAT      TIME COMMAND
78388   ??  S      0:03.02 /Library/Application Support/Adobe/Adobe Desktop Common/ADS/Adobe Desktop Service.app/Contents/MacOS/Adobe Des
78390   ??  S      0:00.25 /Applications/Utilities/Adobe Creative Cloud/ACC/Creative Cloud.app/Contents/Frameworks/AdobeCrashReporter.fra
78393   ??  S      0:00.42 /Applications/Utilities/Adobe Creative Cloud/ACC/Creative Cloud.app/Contents/MacOS/../Frameworks/Adobe CEF Hel
78397   ??  S      0:00.24 /Library/Application Support/Adobe/Adobe Desktop Common/ADS/Adobe Desktop Service.app/Contents/Frameworks/Adob
78400   ??  S      0:00.57 /Library/Application Support/Adobe/Creative Cloud Libraries/CCLibrary.app/Contents/MacOS/../libs/node /Library
78422   ??  S      0:00.02 /System/Library/Frameworks/ColorSync.framework/Support/colorsync.useragent
78437   ??  S      0:02.79 /Applications/Utilities/Adobe Creative Cloud/ACC/Creative Cloud.app/Contents/MacOS/../Frameworks/Adobe CEF Hel
78441   ??  S      0:00.16 /Applications/Utilities/Adobe Sync/CoreSync/Core Sync.app/Contents/MacOS/Core Sync
78442   ??  S      0:00.40 /Applications/Utilities/Adobe Creative Cloud Experience/CCXProcess/CCXProcess.app/Contents/MacOS/../libs/Adobe
78444   ??  S      0:00.28 /Applications/Utilities/Adobe Sync/CoreSync/Core Sync.app/Contents/Frameworks/AdobeCrashReporter.framework/Ver
78480   ??  S      0:00.31 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlig
78483   ??  S      0:00.07 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
78484   ??  S      0:00.09 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
78492   ??  S      0:00.12 /System/Library/CoreServices/cloudphotosd.app/Contents/MacOS/cloudphotosd
78493   ??  S      0:00.04 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storedownloadd
78494   ??  S      0:00.02 /System/Library/PrivateFrameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
78501   ??  Ss     0:00.03 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/XPCServices/media-indexer.xpc/Content
78502   ??  Ss     0:06.82 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/Ma
78503   ??  Ss     0:00.14 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCom
78504   ??  S      0:00.02 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdate_notify_agent
78507   ??  S      0:00.04 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storelegacy
78509   ??  S      0:00.23 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeassetd
78510   ??  Ss     0:00.03 /System/Library/Frameworks/iTunesLibrary.framework/Versions/A/XPCServices/com.apple.iTunesLibraryService.xpc/C
78511   ??  S      0:00.08 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
78513   ??  Ss     0:00.16 /System/Library/Frameworks/MediaLibrary.framework/Versions/A/XPCServices/com.apple.MediaLibraryService.xpc/Con
78514   ??  S      0:00.05 /System/Library/PrivateFrameworks/PhotoLibraryPrivate.framework/Versions/A/Support/photolibraryd
78515   ??  S      0:00.06 /System/Library/PrivateFrameworks/CommerceKit.framework/Resources/LaterAgent.app/Contents/MacOS/LaterAgent
78516   ??  Ss     0:00.03 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/XPCServices/com.apple.CommerceKit.Transacti
78517   ??  Ss     0:00.01 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS
78518   ??  S      0:00.38 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistant_service
78520   ??  Ss     0:00.03 /System/Library/Frameworks/iTunesLibrary.framework/Versions/A/XPCServices/com.apple.iTunesLibraryService.xpc/C
78524   ??  S      0:00.03 /usr/libexec/siriknowledged
78525   ??  Ss     0:00.02 /System/Library/PrivateFrameworks/FMClient.framework/Versions/A/XPCServices/FMIPClientXPCService.xpc/Contents/
78531   ??  S      0:00.02 /System/Library/CoreServices/EscrowSecurityAlert.app/Contents/MacOS/EscrowSecurityAlert
78552   ??  S      0:00.54 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell
78553   ??  S      0:00.07 /usr/libexec/keyboardservicesd
78557   ??  Ss     0:00.05 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCom
78559   ??  S      0:00.07 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_sh
78560   ??  S      0:00.14 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_sh
78561   ??  S      0:00.05 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_sh
78562   ??  S      0:00.11 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_sh
78564   ??  S      0:00.05 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_sh
78567   ??  Ss     0:00.22 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/XPCServices/com.apple.CommerceKit.Transacti
78568   ??  S      0:02.51 /Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
78577   ??  S      0:00.06 /System/Library/PrivateFrameworks/PhotoAnalysis.framework/Versions/A/Support/photoanalysisd
78579   ??  Ss     0:00.07 /System/Library/CoreServices/Siri.app/Contents/XPCServices/SiriNCService.xpc/Contents/MacOS/SiriNCService
78580   ??  S      0:00.06 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_sh
78581   ??  S      0:00.04 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_sh
78582   ??  S      0:00.61 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_sh
78583   ??  S      0:00.06 /System/Library/PrivateFrameworks/IMDPersistence.framework/IMAutomaticHistoryDeletionAgent.app/Contents/MacOS/
78586   ??  Ss     0:00.07 /Applications/Safari.app/Contents/XPCServices/com.apple.Safari.SandboxBroker.xpc/Contents/MacOS/com.apple.Safa
78587   ??  S      0:00.01 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdwrite
78588   ??  S      0:00.10 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_sh
78589   ??  S      0:03.46 /Applications/Preview.app/Contents/MacOS/Preview -psn_0_9660726
78590   ??  Ss     0:00.03 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XprotectService.xpc/Conte
78591   ??  S      0:00.05 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_sh
78592   ??  S      0:00.05 /System/Library/CoreServices/ScopedBookmarkAgent
78593   ??  S      0:00.05 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
78594   ??  S      0:00.06 /usr/libexec/silhouette
78598   ??  S      0:00.02 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
78599   ??  S      0:00.30 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent
78600   ??  Ss     0:00.04 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCom
78601   ??  Ss     0:00.08 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/Ma
78603   ??  Ss     0:00.03 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCom
78608   ??  S      0:00.30 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/atsd
78569 s000  Ss     0:00.02 login -pf huber021
78570 s000  S      0:00.01 -bash
78675 s000  R+     0:00.00 ps x
maclab-123:~ huber021$ man ps
maclab-123:~ huber021$ ps aux
USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
_windowserver    50578   1.7  0.9  9720080 154972   ??  Ss   11Feb20  54:46.43 /System/Library/PrivateFrameworks/SkyLight.framework/Resou
huber021         78437   0.4  0.8  4885344 132868   ??  S     2:08PM   0:03.20 /Applications/Utilities/Adobe Creative Cloud/ACC/Creative 
huber021         78382   0.4  0.4  4686840  61748   ??  S     2:08PM   0:02.17 /Applications/Utilities/Adobe Creative Cloud/ACC/Creative 
huber021         78568   0.3  0.7  5059812 120752   ??  R     2:09PM   0:05.51 /Applications/Utilities/Terminal.app/Contents/MacOS/Termin
huber021         78325   0.1  0.2  4373964  32388   ??  S     2:08PM   0:00.16 /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri 
